business_name,business_status,street_name_address,lot_address,latitude,longitude
지에스25 도척안길점,영업,"경기도 광주시 도척면 노곡로 40, 1층",경기도 광주시 도척면 노곡리 238-2번지 1층 ,37.3028207,127.3309485
CU 광주장지마을점,영업,"경기도 광주시 절골길 77, 편의하우스 1층 (장지동)",경기도 광주시 장지동 583번지 편의하우스 1층 ,37.4054478,127.2304561
이마트24광주장지점,영업,경기도 광주시 태봉로1번길 13 (장지동),경기도 광주시 장지동 688-2번지 ,37.3926128,127.2328678
CU광주쌍령대로점,영업,"경기도 광주시 중앙로14번길 2, 1층 (쌍령동)",경기도 광주시 쌍령동 104-11번지 1층,37.4056148,127.2671414
세븐일레븐 경기광주역동본점,영업,"경기도 광주시 경안로57번길 8, 1층 (역동)",경기도 광주시 역동 1-8번지 1층 ,37.4075331,127.2551417
제이스(GS)25태전에듀점,영업,"경기도 광주시 태전동로 21, 에듀프라자 1층 105호 (태전동)",경기도 광주시 태전동 162-8번지 에듀프라자1층 105호 ,,
씨유 광주궁평점,영업,"경기도 광주시 도척면 도척윗로 163, 1층",경기도 광주시 도척면 궁평리 300-11번지 ,37.33801652,127.3236426
GS25광주텃골점,영업,"경기도 광주시 텃골길26번길 5, 1층 (중대동)",경기도 광주시 중대동 207-14번지 1층,37.4073601,127.2147621
미니스톱곤지암점,영업,경기도 광주시 곤지암읍 곤지암로 61,경기도 광주시 곤지암읍 곤지암리 445-2번지 ,37.3493421,127.3398863
초코마트남한산성점,영업,경기도 광주시 남한산성면 남한산성로 175,경기도 광주시 남한산성면 오전리 35-4번지,37.4537723,127.233168
CU장신대점,영업,"경기도 광주시 경안로88번길 43, 1층 (경안동)",경기도 광주시 경안동 215-2번지 1층,37.4091415,127.248675
GS25광주삼백점,영업,"경기도 광주시 오포읍 새말길 138, 1층",경기도 광주시 오포읍 신현리 405-10번지,37.3705646,127.16196
GS25 탄벌낙원점,영업,"경기도 광주시 송정로 59-17, 1층 (탄벌동)",경기도 광주시 탄벌동 1-3번지,37.4175824,127.253673
이마트24 오포양벌점,영업,"경기도 광주시 오포읍 마루들길172번길 8-4, 1층",경기도 광주시 오포읍 양벌리 409-3번지,37.3786471,127.2507546
세븐일레븐 광주태전점,영업,"경기도 광주시 태봉로 51, 1층 (태전동)",경기도 광주시 태전동 628번지 외12필지 ,37.38861839,127.2297617
세븐일레븐 오포쌍용점,영업,"경기도 광주시 오포읍 양벌로 171, 1층",경기도 광주시 오포읍 양벌리 285번지 1층,37.3807258,127.25626
씨유 광주지월점,영업,"경기도 광주시 초월읍 지월로 51, 1층",경기도 광주시 초월읍 지월리 329-2번지 1층,37.4134486,127.2959957
GS25 회덕타운점,영업,"경기도 광주시 회덕길28번길 27-25, 1층 (회덕동, 골든빌)",경기도 광주시 회덕동 205번지 골든빌 1층,37.4316411,127.2435626
세븐일레븐 경기광주양벌점,영업,"경기도 광주시 오포읍 양벌로 303-16, 1층",경기도 광주시 오포읍 양벌리 611-7번지 1층 ,37.37125355,127.2489804
GS25 광주운동장,영업,"경기도 광주시 오포읍 양벌로 58, 1층",경기도 광주시 오포읍 양벌리 78-2번지,37.3906958,127.2539787
세븐일레븐 경기광주오포문형점,영업,"경기도 광주시 오포읍 봉골길 22, 1층",경기도 광주시 오포읍 문형리 207-1번지 1층,37.348064,127.2100359
GS25 광주용상점,영업,"경기도 광주시 오포읍 능평로30번길 8, 1층",경기도 광주시 오포읍 능평리 458-7번지 1층,37.3544788,127.1639577
GS25 편의점,영업,"경기도 광주시 초월읍 산수로 517, 1층",경기도 광주시 초월읍 신월리 446-5번지 1층,37.4067857,127.3084391
GS25 광주태전,영업,"경기도 광주시 태봉로 9, 1층 (태전동)",경기도 광주시 태전동 262-12번지 1층,37.3919491,127.2312849
세븐일레븐(경기광주월드점),영업,"경기도 광주시 포돌이로11번길 9, 1층 (경안동)",경기도 광주시 경안동 128-44번지,37.413923,127.2500348
지에스25 쌍령로제비앙점,영업,"경기도 광주시 경충대로 1430, 208동 지1층 B01호 (쌍령동, 대광로제비앙)",경기도 광주시 쌍령동 502번지 대광로제비앙208동 지1층 B01호,37.3977844,127.275392
GS25 광주초월본점,영업,"경기도 광주시 초월읍 진새골길 5, 2층",경기도 광주시 초월읍 대쌍령리 189-1번지 2층,37.386674,127.2872532
GS25곤지암신대리점,영업,경기도 광주시 곤지암읍 곤지암천로 149,경기도 광주시 곤지암읍 신대리 277-15번지,37.3573728,127.3293008
씨유광주목현에이스점,영업,"경기도 광주시 이배재로 175, 1층 (목현동)",경기도 광주시 목현동 6-5번지 1층 ,37.42986184,127.2367328
GS25 광주도척점,영업,"경기도 광주시 도척면 마도로 289, 1층",경기도 광주시 도척면 유정리 239-2번지 1층 ,37.29637614,127.3318003
씨유뉴광주신촌점,영업,"경기도 광주시 곤지암읍 신만로 7, 1층",경기도 광주시 곤지암읍 신촌리 173-1번지 1층 ,37.32899038,127.3901472
지에스25 태전파크자이점,영업,경기도 광주시 벼루개길42번길 34 (태전동),경기도 광주시 태전동 728번지 ,37.38011273,127.2344782
CU 남종교차로점,영업,"경기도 광주시 퇴촌면 천진암로 310, 1층",경기도 광주시 퇴촌면 광동리 200-2번지 1층 ,37.47171647,127.3066119
세븐일레븐 경기광주 초월본점,영업,"경기도 광주시 초월읍 동막골길 3, 선동빌딩 1층","경기도 광주시 초월읍 선동리 248-1번지 선동빌딩, 1층 ",37.37717356,127.3172722
CU광주초월중앙점,영업,"경기도 광주시 초월읍 진새골길 14, 1층",경기도 광주시 초월읍 대쌍령리 321-1번지 1층 ,37.38603571,127.2866976
GS25초월대쌍령점,영업,"경기도 광주시 초월읍 무들로47번길 61, 1층",경기도 광주시 초월읍 대쌍령리 339-5번지 1층 ,37.3896733,127.2877276
이마트24 곤지암삼리점,영업,"경기도 광주시 곤지암읍 독고개길 41, 1층",경기도 광주시 곤지암읍 삼리 224-4번지 1층 ,37.35631971,127.3155598
세븐일레븐 경기광주용수점,영업,"경기도 광주시 초월읍 무들로238번길 3-4, 1층",경기도 광주시 초월읍 용수리 367-1번지 1층,37.3781434,127.3081648
세븐일레븐 경기광주노곡점,영업,"경기도 광주시 도척면 도척로 503-5, 2동 1층",경기도 광주시 도척면 노곡리 72-3번지 1층 2동 ,37.30854619,127.3327783
GS25 신현새소망점,영업,"경기도 광주시 오포읍 문형산길47번길 16, 1층",경기도 광주시 오포읍 신현리 347-5번지 1층 ,37.3632019,127.1630168
세븐일레븐 경기광주스카이점,영업,"경기도 광주시 초월읍 경충대로1127번길 17, 동광모닝스카이아파트 상가 1층 106호",경기도 광주시 초월읍 쌍동리 392번지 동광모닝스카이아파트 상가 106호 ,37.37661947,127.2943959
CU 광주초월신월점,영업,"경기도 광주시 초월읍 산수로 394, 1층",경기도 광주시 초월읍 신월리 602-4번지 ,37.39619732,127.3125295
씨유 광주동막골점,영업,"경기도 광주시 오포읍 문형산길 115, 1층",경기도 광주시 오포읍 신현리 153-2번지 1층 ,37.3667005,127.1676301
씨유 광주탄벌점,영업,"경기도 광주시 탄벌길 35, 1층 (탄벌동)",경기도 광주시 탄벌동 196-1번지 ,37.42010915,127.2431416
지에스25 광주열미점,영업,"경기도 광주시 곤지암읍 광여로 215, 1층",경기도 광주시 곤지암읍 열미리 473-4번지 1층 ,37.35326455,127.3662696
씨유 광주산이빌리지점,영업,"경기도 광주시 초월읍 산이길 25, 1층",경기도 광주시 초월읍 산이리 13-37번지 1층 ,37.36065289,127.3123947
씨유 광주산이타운점,영업,"경기도 광주시 초월읍 경충대로 865-48, 1층",경기도 광주시 초월읍 산이리 17-13번지 1층 ,37.3603405,127.3146622
GS25쌍령이레타워점,영업,"경기도 광주시 경충대로1480번길 5, 1층 104호 (쌍령동)",경기도 광주시 쌍령동 238-1번지 1층 104호 일부 ,37.40161298,127.2717579
씨유 초월롯데점,영업,"경기도 광주시 초월읍 경충대로 1065, 1층 101호 (초월롯데캐슬아파트)",경기도 광주시 초월읍 쌍동리 390번지 초월롯데캐슬아파트 1층 101호,37.3718677,127.29939
GS25광주역동점,영업,"경기도 광주시 광주대로 15, 1층 (역동)",경기도 광주시 역동 27-6번지 1층 ,37.40783682,127.2605643
GS25 광주매곡점,영업,"경기도 광주시 오포읍 양벌로 303-3, 미리엘빌딩 1층","경기도 광주시 오포읍 양벌리 561-2번지 미리엘빌딩, 1층 ",37.37245369,127.248115
CU광주고불로점,영업,"경기도 광주시 고불로186번길 14, 1층 (태전동)",경기도 광주시 태전동 405번지 1층 ,37.3956434,127.2167845
