street_name_address,lot_address,latitude,longitude
경기도 수원시 팔달구 세지로174번길 31-3,경기도 수원시 팔달구 인계동 989-7,37.2665748,127.0235017
경기도 수원시 팔달구 장다리로195번길 14,경기도 수원시 팔달구 인계동 983-6,37.2674847,127.0240882
경기도 수원시 팔달구 세지로174번길 13,경기도 수원시 팔달구 인계동 987-10,37.2667371,127.0226675
경기도 수원시 팔달구 세지로174번길 15-19,경기도 수원시 팔달구 인계동 987-16,37.2675119,127.0230848
경기도 수원시 장안구 경수대로 1088,경기도 수원시 장안구 파장동 210-2,37.3097894,126.9936208
경기도 수원시 장안구 경수대로 1069,경기도 수원시 장안구 파장동 584-2,37.3085371,126.9952228
경기도 수원시 장안구 경수대로 837,,37.2959854,127.0154458
,경기도 수원시 장안구 정자동 302-3,37.3003739,126.9961485
경기도 수원시 권선구 수인로196번길 1,경기도 수원시 권선구 서둔동 243-6,37.2776838,126.9786961
경기도 수원시 권선구 수인로296번길 10-24,경기도 수원시 권선구 구운동 904-9,37.2828451,126.9719287
,경기도 수원시 영통구 원천동 144-2,37.2717092,127.0568646
경기도 수원시 영통구 덕영대로1555번길 20,,37.2463515,127.0625269
경기도 수원시 영통구 덕영대로1673번길 17,경기도 수원시 영통구 영통동 988-6,37.2473278,127.0730773
경기도 수원시 영통구 영일로6번길 54,경기도 수원시 영통구 영통동 1024-16,37.2479099,127.0788599
,경기도 수원시 권선구 장지동 664,37.2419598,127.0150649
,경기도 수원시 권선구 권선동 214-9,37.2382998,127.0269763
경기도 수원시 영통구 덕영대로 1727,경기도 수원시 영통구 영통동 1025-14,37.2481612,127.0803366
,경기도 수원시 장안구 파장동 34-3,37.3267277,126.9857547
,경기도 수원시 장안구 율전동 176-10,37.301368,126.9644544
,경기도 수원시 팔달구 화서동 377-6,37.2863175,126.9911992
,경기도 수원시 팔달구 화서동 223-11,37.2801816,126.992091
,경기도 수원시 영통구 이의동 910-31,37.2963143,127.0379121
경기도 수원시 권선구 매송고색로 515,경기도 수원시 권선구 오목천동 362,37.2452419,126.9614286
,경기도 수원시 권선구 서둔동 328-5,37.265459,126.9938968
,경기도 수원시 권선구 탑동 521,37.26432,126.9721166
,경기도 수원시 권선구 구운동 17-6,37.2854841,126.9684206
,경기도 수원시 권선구 당수동 138-1,37.2934292,126.9412374
경기도 수원시 권선구 권선로 607,,37.261683,127.0179991
,경기도 수원시 팔달구 매교동 255-1,37.2646292,127.0198598
,경기도 수원시 팔달구 인계동 998,37.2654574,127.0239523
,경기도 수원시 장안구 정자동 880-2,37.2940122,126.9903071
,경기도 수원시 팔달구 남수동 54-3,37.2817127,127.0192773
,경기도 수원시 팔달구 우만동 182-1,37.2832946,127.0375001
,경기도 수원시 권선구 호매실동 968,37.2619608,126.9506198
,경기도 수원시 권선구 호매실동 968,37.2619608,126.9506198
,경기도 수원시 권선구 고색동 433-3,37.2437691,126.9789549
경기도 수원시 권선구 오목천로 153,경기도 수원시 권선구 고색동 464-4,37.2448227,126.9763736
경기도 수원시 권선구 경수대로54번길 58,경기도 수원시 권선구 곡반정동 604-1,37.2340744,127.0243606
,경기도 수원시 권선구 권선동 1000-19,37.2574933,127.0175023
,경기도 수원시 권선구 권선동 978-11,37.260016,127.0187766
,경기도 수원시 권선구 세류동1132-33,37.2492942,127.0150323
경기도 수원시 팔달구 세지로225번길 42,경기도 수원시 팔달구 인계동 847-14,37.271792,127.0222517
경기도 수원시 팔달구 세지로233번길48,경기도 수원시 팔달구 인계동 859-29,37.2715669,127.0212482
