business_name,business_status,street_name_address,lot_address,latitude,longitude
미니스톱인계3점,영업,경기도 수원시 팔달구 인계로108번길 31 (인계동),경기도 수원시 팔달구 인계동 1033번지,37.2662944,127.0290596
미니스톱 광교 아르데코,영업,"경기도 수원시 영통구 광교로42번길 80, 1층 103호 (이의동, 광교아르데코 )",경기도 수원시 영통구 이의동 1358번지 광교아르데코 103호,37.2864009,127.0445044
GS25영통해광점,영업,"경기도 수원시 영통구 청명로21번길 15, 해광빌딩 1층일부 1층 (영통동)",경기도 수원시 영통구 영통동 1013-16번지 해광빌딩,37.2497929,127.0790534
미니스톱아주대점,영업,"경기도 수원시 팔달구 아주로47번길 32 (우만동, 플러스빌오피스텔 101호)",경기도 수원시 팔달구 우만동 45-1번지,37.2792386,127.0418845
GS25팔달신우편의점,영업,"경기도 수원시 팔달구 화양로29번길 2, 1층 (화서동)",경기도 수원시 팔달구 화서동 206-4번지,37.2807316,126.9968719
미니스톱팔달우만점,영업,경기도 수원시 팔달구 팔달문로140번길 38 (우만동),경기도 수원시 팔달구 우만동 559번지,37.2807643,127.0317821
씨유 광교유니코어,영업,"경기도 수원시 영통구 도청로 95, 유니코어 106호 (이의동)",경기도 수원시 영통구 이의동 1351-6번지 유니코어 106호,37.2907878,127.0476081
GS25세류덕영점,영업,"경기도 수원시 권선구 세권로 1, 1층 101호 (세류동, 엘에이치수원센트럴타운3단지상가동)",경기도 수원시 권선구 세류동 1280번지 엘에이치수원센트럴타운3단지상가동 101호,37.26012523,127.0060609
GS25호매실한양점,영업,"경기도 수원시 권선구 칠보로 102, 상가2동 1층 110호 (호매실동, 한양수자인파크원)",경기도 수원시 권선구 호매실동 1361번지 한양수자인파크원 상가2동 110호,37.2645109,126.9511479
GS25 율전성대점,영업,"경기도 수원시 장안구 서부로2105번길 29, 우정상가 (율전동)",경기도 수원시 장안구 율전동 408-16번지 우정상가,37.2967019,126.9685057
지에스25 수원토란점,영업,"경기도 수원시 영통구 반달로35번길 19, 110,111호 (영통동, 대원빌딩)",경기도 수원시 영통구 영통동 1010-9번지 대원빌딩,37.2516058,127.0762486
GS25 광교힐스점,영업,"경기도 수원시 영통구 센트럴파크로 6, 127호 (하동, 힐스테이트 광교)",경기도 수원시 영통구 하동 1021번지 힐스테이트 광교 127호,37.2852929,127.0646325
지에스25인계복개천점,영업,"경기도 수원시 팔달구 경수대로479번길 19, 1층 (인계동)",경기도 수원시 팔달구 인계동 967번지 1층,37.2690972,127.0260842
GS25 권선골드,영업,"경기도 수원시 권선구 세지로140번길 2, 1층 (권선동)",경기도 수원시 권선구 권선동 950번지 1층,37.2638181,127.0205361
GS25고색3산단점,영업,"경기도 수원시 권선구 산업로 182, 102호 (고색동, 대명프라자)",경기도 수원시 권선구 고색동 1097번지 대명프라자 102호,37.2426528,126.9846241
지에스25 권선SK점,영업,"경기도 수원시 권선구 권선로694번길 26, 110동 1층 104호 (권선동, 권선 SK VIEW)",경기도 수원시 권선구 권선동 1035번지 권선 SK VIEW 110동 104호,37.25837212,127.0266728
보람크레페,영업,"경기도 수원시 권선구 동수원로 232 (권선동,GS마트 지하1층)",경기도 수원시 권선구 권선동 1296-5번지 GS마트 지하1층,37.2501826,127.0346446
미니스톱삼성신동점,영업,"경기도 수원시 영통구 신원로 228 (매탄동, 492-7번지 1층)",경기도 수원시 영통구 매탄동 492-7번지 (1층),37.2560747,127.0602802
씨유수원운동장점,영업,"경기도 수원시 장안구 송원로 49-1, 1층 (송죽동)",경기도 수원시 장안구 송죽동 504-2번지 ,37.29978839,127.0074724
이마트24수원호매실점,영업,"경기도 수원시 권선구 매곡로 43, 1층 102호 (금곡동, 호반베르디움 더 센트럴)",경기도 수원시 권선구 금곡동 1147번지 호반베르디움 더 센트럴 102호,37.2704848,126.9513467
GS25 영통아이파크,영업,"경기도 수원시 영통구 반달로35번길 30, 1층 105,106호 (영통동)","경기도 수원시 영통구 영통동 1012-1번지 영통역 아이파크 105,106호",37.2517672,127.0774097
미니스톱연무2점,영업,경기도 수원시 장안구 창훈로60번길 21 (연무동),경기도 수원시 장안구 연무동 11-16번지 ,37.29815459,127.0297248
지에스(GS)25정자권호,영업,"경기도 수원시 장안구 수성로275번길 108, 1층 (정자동)",경기도 수원시 장안구 정자동 31-11번지,37.2945985,126.9993632
세븐일레븐 수원푸른점,영업,"경기도 수원시 팔달구 세지로 272, 1층 (인계동)",경기도 수원시 팔달구 인계동 746-2번지 1층 ,37.27526073,127.0236958
GS25 세류3동점,영업,"경기도 수원시 권선구 정조로 578, 1층 (세류동)",경기도 수원시 권선구 세류동 162-14번지 1층,37.26035,127.0132868
GS25권선아이파크점,영업,"경기도 수원시 권선구 덕영대로1190번길 100, 1층 109,110호 (권선동, 수원아이파크시티7단지 707동상가)","경기도 수원시 권선구 권선동 1337번지 수원아이파크시티7단지 707동상가 1층 109,110호",37.2463833,127.0199797
미니스톱 탑동센터점,영업,"경기도 수원시 권선구 상탑로 10, 1층 101,102호 (탑동, 편의점 내)","경기도 수원시 권선구 탑동 815-1번지 101,102호, 편의점내",37.270402,126.9722607
세븐일레븐 수원망포마을점,영업,"경기도 수원시 영통구 영통로173번길 23-28, 1층 101호 (망포동)",경기도 수원시 영통구 망포동 291-18번지 101호,37.242022,127.052865
GS25수원지동점,영업,"경기도 수원시 팔달구 경수대로 657-7 (지동, 샤인파크)",경기도 수원시 팔달구 지동 477-13번지 샤인파크 ,37.2836845,127.0278027
GS25 광교40단지점,영업,"경기도 수원시 영통구 광교마을로 156, 상가동 1층 101호 (하동, 광교마을40단지)",경기도 수원시 영통구 하동 1001번지 광교마을40단지 1층 상가동 101호,37.2953188,127.0836894
씨유 매탄산들점,영업,"경기도 수원시 영통구 매원로 12, 1층 (매탄동)",경기도 수원시 영통구 매탄동 209번지 ,37.2664061,127.047357
CU망포벽산점,영업,"경기도 수원시 영통구 영통로90번길 12, 1층 (망포동)",경기도 수원시 영통구 망포동 485-16번지 1층 ,37.2376308,127.0598041
씨유 광교웰빙타운점,영업,"경기도 수원시 영통구 웰빙타운로49번길 36, 에코프라자 1층 102호 (이의동)",경기도 수원시 영통구 이의동 1204-8번지 102호,37.3038979,127.0470858
미니스톱 능실마을점,영업,"경기도 수원시 권선구 호매실로166번길 10, 상가동 (호매실동, 호매실능실마을22단지, 103호 일부)","경기도 수원시 권선구 호매실동 1415번지 호매실능실마을22단지, 103호 일부 상가동 ",37.25845941,126.9594487
이마트24(수원모아점),영업,"경기도 수원시 권선구 서수원로577번길 341, 1층 101호 (금곡동, 수원모아미래도센트럴타운1단지)",경기도 수원시 권선구 금곡동 1078번지 수원모아미래도센트럴타운1단지 101호,37.2755421,126.938095
지에스25 영통벽산점,영업,"경기도 수원시 영통구 봉영로1744번길 11, 상가동 110호 (영통동, 벽산.풍림아파트)",경기도 수원시 영통구 영통동 1053-2번지 벽산.풍림아파트 상가동 110호,37.2659093,127.0836693
CU수원경서점,영업,"경기도 수원시 팔달구 중부대로106번길 34, 1층 (인계동)",경기도 수원시 팔달구 인계동 218-6번지 1층 ,37.2762958,127.029142
